name,latitude,longitude,kategori,kecamatan,kelurahan
TK-SD Islam Ash-Shiddiqii,-7.233481946,112.7794846,pendidikan,Tambaksari,Dukuh Setro
MI Al Azhar,-7.236823,112.7761129,pendidikan,Tambaksari,Dukuh Setro
SD Negeri Tambak Wedi I,-7.211220928,112.7777222,pendidikan,Kenjeran,Tambak Wedi
SD Negeri Ketabang,-7.254144173,112.7462341,pendidikan,Genteng,Ketabang
SMK Negeri 8 Surabaya,-7.253326274,112.7461333,pendidikan,Genteng,Ketabang
SMK Ihyaussalafiyah,-7.229910275,112.7494981,pendidikan,Semampir,Sidotopo
SD Negeri Bulak Rukem I,-7.232722846,112.7738933,pendidikan,Bulak,Bulak
MI Kyai Tambak Deres,-7.231949583,112.7808912,pendidikan,Bulak,Bulak
SMK Tri Guna Bhakti,-7.232876867,112.7771483,pendidikan,Bulak,Bulak
SD Tri Guna Bhakti,-7.232726887,112.7764708,pendidikan,Bulak,Bulak
SD Kristen YBPK,-7.264757441,112.7557079,pendidikan,Tambaksari,Pacar Keling
SD Negeri Pacar Keling 1,-7.258826875,112.7604402,pendidikan,Tambaksari,Pacar Keling
SD Negeri Pacar Keling 5-6-7-8,-7.258018586,112.7550524,pendidikan,Tambaksari,Pacar Keling
SMA Kristen YBPK,-7.264471018,112.755719,pendidikan,Tambaksari,Pacar Keling
SMA Negeri 4 Surabaya,-7.265910329,112.754987,pendidikan,Tambaksari,Pacar Keling
SMP Kristen YBPK,-7.265095748,112.75578,pendidikan,Tambaksari,Pacar Keling
SMA Negeri 19 Surabaya,-7.22091942,112.7776034,pendidikan,Kenjeran,Tanah Kali Kedinding
Lembaga Pendidikan Ma'Arif NU,-7.252022915,112.7401617,pendidikan,Genteng,Peneleh
TK & SD Pancaran Kasih,-7.257411892,112.7365958,pendidikan,Genteng,Genteng
SMP Negeri 4 Surabaya,-7.256775825,112.7358061,pendidikan,Genteng,Genteng
SMA-SMK MAHARDIKA,-7.30269895,112.7606699,pendidikan,Gubeng,Baratajaya
SD Negeri Kapasan V,-7.243337548,112.7548042,pendidikan,Simokerto,Kapasan
SD Muhammadiyah 2,-7.2527465,112.7377196,pendidikan,Genteng,Peneleh
SD Muhammadiyah 17,-7.236008364,112.7521173,pendidikan,Simokerto,Simokerto
SMK Yesta,-7.3010779,112.7690831,pendidikan,Sukolilo,Ngiden Jangkungan
SMP Panglima Sudirman,-7.301244272,112.7690346,pendidikan,Sukolilo,Ngiden Jangkungan
MI Ma'arif NU Nurul Huda I,-7.239233822,112.7588781,pendidikan,Simokerto,Simokerto
SMA Negeri 2 Surabaya,-7.256593954,112.7493864,pendidikan,Genteng,Ketabang
SD Negeri Simokerto VI,-7.236494764,112.7577037,pendidikan,Simokerto,Simokerto
SD Al-Aziz,-7.246220456,112.7443566,pendidikan,Pabean Cantian,Bongkaran
SD Negeri Sidotopo Wetan I & II,-7.233237279,112.7580755,pendidikan,Kenjeran,Sidotopo Wetan
SD Negeri Menur Pumpungan 4,-7.299311361,112.7648538,pendidikan,Sukolilo,Menur Pumpungan
SD Negeri Menur Pumpungan,-7.28854425,112.7660056,pendidikan,Sukolilo,Menur Pumpungan
SD Negeri Menur Pumpungan V,-7.297121016,112.7644073,pendidikan,Sukolilo,Menur Pumpungan
MI Miftahul Ulum,-7.22790265,112.7453389,pendidikan,Semampir,Ampel
SD Negeri Dr. Soetomo I,-7.276560062,112.7332268,pendidikan,Tegalsari,Dr. Sutomo
SD/MI Miftahul Ulum,-7.2745232,112.7276118,pendidikan,Tegalsari,Dr. Sutomo
SMP Negeri 10 Surabaya,-7.277791435,112.732588,pendidikan,Tegalsari,Dr. Sutomo
SMP Swasta Praja Mukti,-7.277057366,112.7326572,pendidikan,Tegalsari,Dr. Sutomo
SD Swasta Shanti,-7.24600455,112.745818,pendidikan,Pabean Cantian,Bongkaran
SMP Negeri 15 Surabaya,-7.226284465,112.7758548,pendidikan,Kenjeran,Tanah Kali Kedinding
SD Negeri Gading VII & IX,-7.242440636,112.7653038,pendidikan,Tambaksari,Kapasmadya Baru
SD Negeri Simokerto V,-7.241045,112.7560252,pendidikan,Simokerto,Simokerto
TK-SD-MTs Al Furqon,-7.236576617,112.7738458,pendidikan,Bulak,Bulak
SD Negeri Simokerto I,-7.239031898,112.7508302,pendidikan,Simokerto,Simokerto
SD Negeri Kapasan IX,-7.239366218,112.7455519,pendidikan,Simokerto,Kapasan
SMK Adhikawacana,-7.29341134,112.7995222,pendidikan,Sukolilo,Keputih
SD Yapita,-7.294068,112.8007232,pendidikan,Sukolilo,Keputih
SMK Negeri 10 Surabaya,-7.293435773,112.8001958,pendidikan,Sukolilo,Keputih
SMP Negeri 23 Surabaya,-7.319969538,112.7775522,pendidikan,Rungkut,Kedung Baruk
SD Negeri Kalisari I,-7.261222711,112.796486,pendidikan,Mulyorejo,Kalisari
"TK, SD, SLTP Al - Azhar Kelapa Gading Surabaya",-7.267532471,112.7991902,pendidikan,Mulyorejo,Kalisari
